"piler_party","party_id","party_code","party_name","Country"
"HOMELAND - VLAST",8643,"V","Homeland","Slovakia"
"HZD Movement for Democracy",2133,"HZD","Movement for Democracy","Slovakia"
"HZDS Movement f Democratic SK",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"HZDS Movement f Democratic SK,Peoples P",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"HZDS Movement for a Democratic Slovakia",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"HZPS Association for Prosperity",,,,"Slovakia"
"Hnutie za demokraticke Slovensko (HZDS)",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Hnutie za demokraticke Slovensko (HZDS) - Movement for a Democratic Slovakia",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Homeland",8643,"V","Homeland","Slovakia"
"Hungarian Christian Democratic Alliance",,,,"Slovakia"
"Hungarian Christian Democratic Alliance",,,,"Slovakia"
"Hungarian Christian Democratic Alliance (MKDA)",2283,"MKDM","Hungarian Christian Democratic Movement","Slovakia"
"Hungarian Christian democratic alliance",,,,"Slovakia"
"Hungarian Coalition",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Hungarian Coalition (SMK)",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Hungarian Coalition Party - SMK",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Hungarian Community Togetherness",,,,"Slovakia"
"I. Gasparovic (HZD)",2133,"HZD","Movement for Democracy","Slovakia"
"J. Kalman (Ind.)",,,,"Slovakia"
"J. Kralik (SDL)",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"J. Kubik (Ind.)",,,,"Slovakia"
"J. Sestak (Ind.)",,,,"Slovakia"
"KDH (Kresansko-demokratické hnutie)",63,"KDH","Christian Democratic Movement","Slovakia"
"KDH Christian Democratic Movement",63,"KDH","Christian Democratic Movement","Slovakia"
"KDH Christian Democratic Movemnt",63,"KDH","Christian Democratic Movement","Slovakia"
"KSS (Koministická strana Slovenska)",340,"KSS","Communist Party of Slovakia","Slovakia"
"KSS Communist Party",340,"KSS","Communist Party of Slovakia","Slovakia"
"KSS Communist Party of Slovakia",340,"KSS","Communist Party of Slovakia","Slovakia"
"KomunistickA strana Slovenska (KSS) - Communist Party of Slovakia",340,"KSS","Communist Party of Slovakia","Slovakia"
"Komunisticka strana Slovenska - KSS",340,"KSS","Communist Party of Slovakia","Slovakia"
"Kotleba - People's Party Our Slovakia",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Kotleba - People's Party Our Slovakia (SNS)",,,,"Slovakia"
"Kotleba - People's Party Our Slovakia - L'SNS",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Kotleba - People's party Our Slovakia - L'SNS",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Kotleba's people-People's Party Our Slovakia - Kotlebovci-Ludova strana Nase Slovensko (L'SNS)",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Kotleba's people-People's Party Our Slovakia - Kotlebovci-Ľudova strana Nase Slovensko (L'SNS)",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Krestanska Socialna Unia Slovenska (KSU) - Christian Social Union of Slovakia",1406,"KSU","Christian Social Union","Slovakia"
"Krestanskodemokraticke hnutie (KDH)",63,"KDH","Christian Democratic Movement","Slovakia"
"Krestanskodemokraticke hnutie (KDH) - Christian-Democratic Movement",63,"KDH","Christian Democratic Movement","Slovakia"
"Krestanskodemokraticke hnutie - KDH",63,"KDH","Christian Democratic Movement","Slovakia"
"Left Bloc",,,,"Slovakia"
"Ludova strana-Hnutie za demokraticke Slovensko - LS-HZDS",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"M. Butora (Civic org.)",,,,"Slovakia"
"MDS Hungarian Civic Party",2284,"MOS","Hungarian Civic Party","Slovakia"
"MKDH Hungarian Christian Dem Movem",2283,"MKDM","Hungarian Christian Democratic Movement","Slovakia"
"MOST - HID",258,"MH","Most-Hid","Slovakia"
"MOST - HÍD",258,"MH","Most-Hid","Slovakia"
"MOST - Híd",258,"MH","Most-Hid","Slovakia"
"Madarske krestansko-demokraticke hnutie",2283,"MKDM","Hungarian Christian Democratic Movement","Slovakia"
"Madrskkoalia (SMK) Hungarian Coalition",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Magyar Koezoessegi Oesszefogas-Hungarian Community togetherness - Magyar Koezoessegi Oesszefogas-Madarska komunitna spol",,,,"Slovakia"
"Magyar Koezoessegi Oesszefogas-Hungarian Community togetherness - Magyar Koezoessegi Oesszefogas-Maďarska komunitna spo",,,,"Slovakia"
"Most-Hid (Most)",258,"MH","Most-Hid","Slovakia"
"Most-Híd",258,"MH","Most-Hid","Slovakia"
"Move f Democr SK",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movem. for Democratic Sk (HZDS)",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movement for Dem. Slovakia (HZDS)",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movement for Democratic SK, People's Party - L'S - HZDS",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movement for Democratic Slovakia, Peoples Party - HZDS",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movement for Democratic Slovakia, Peoples Party - L'S-HZDS",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movement for Democratic Slovakia, Peoples Party / HZDS",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movement for a Democratic Slovakia (HZDS)",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movemnt f Democratic SK,Peoples P",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Movemt f Democr SK, Peoples Prty",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"NETWORK",4872,"S—SKS","Network — Slovak Conservative Party","Slovakia"
"NOSNP Independent Civic P of Unempl",,,,"Slovakia"
"NS New Slovakia",2074,"NS","New Slovakia","Slovakia"
"Nase Slovensko (NSK)",,,,"Slovakia"
"National Party (SNS)",730,"SNS","Slovak National Party","Slovakia"
"Network",4872,"S—SKS","Network — Slovak Conservative Party","Slovakia"
"OKS Conservative Citizen Prty",665,"OKS","Civic Conservative Party","Slovakia"
"OLANO: Ordinary people - Independent personalities",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"OLaNO (Ordinary People and Indep. Personalities/ Christian Union/ New Majority) - OLaNO/ KU/ NOVA",,,,"Slovakia"
"OTHER: SZ Party of Greens",5849,"SZ","Green Party (1992)","Slovakia"
"Obyčajní Ľudia a nezávislé osobnosti",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Ordinary People and Independent Personalities",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Ordinary People and Independent Personalities (OLaNO)",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Ordinary People and Independent Personalities (OaNO–NOVA)",,,,"Slovakia"
"Ordinary people - Independents solidarities",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Ordinary people and independ. personalities - OL'ANO-NOVA",,,,"Slovakia"
"Ordinary people and independent personalities - OL'ANO-NOVA",,,,"Slovakia"
"Ordinary people and independent personalities - OLaNO",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Ordinary people and independent personalities / OLaNO",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Ordinary people and independent personalities/ OLaNO",2130,"OLaNO","Ordinary People and Independents","Slovakia"
"Other Party - Communist party - KSS",340,"KSS","Communist Party of Slovakia","Slovakia"
"Other: Party of Greens - SZ",5849,"SZ","Green Party (1992)","Slovakia"
"Our Slovakia",656,"LsNS","People's Party Our Slovakia","Slovakia"
"OĽaNO (Ordinary People and Indep. Personalities/ Christian Union/ New Majority) - OLaNO/ KU/ NOVA",,,,"Slovakia"
"PSNS The Real SK National Party",129,"PSNS","Real Slovak National Party","Slovakia"
"Party Direction - Social Democracy - SMER-SD",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Party Of The Democratic Left",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"Party Of The Hungarian Coalition",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party TIP",3222,"TIP","TIP Party — We create another policy","Slovakia"
"Party of Civic Understanding (SOP)",9,"SOP","Party of Civic Understanding","Slovakia"
"Party of Cooperation - MOST - HÍD",258,"MH","Most-Hid","Slovakia"
"Party of Democratic Left (SDL)",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"Party of Greens - SZ",5849,"SZ","Green Party (1992)","Slovakia"
"Party of Hungarian Coalition (SMK)",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party of Hungarian Coalition - SMK",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party of Hungarian Coalition / SMK",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party of Hungarian Community - SMK",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party of Hungarian community - SMK",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party of Modern Slovakia - SMS",,,,"Slovakia"
"Party of modern Slovakia - SMS",,,,"Slovakia"
"Party of the Hungarian Community",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Party of the Hungarian Community (SMK-MKP)",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"People's Party - Movement For a Democratic Slovakia",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"People's Party - Our Slovakia",656,"LsNS","People's Party Our Slovakia","Slovakia"
"People's Party Our Slovakia",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Peoples Party - Our Slovakia",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Peoples party - our Slovakia - LS",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Peoples party - our Slovakia / LS - Nae Slovensko",656,"LsNS","People's Party Our Slovakia","Slovakia"
"Pogresívne Slovensko - Spolu",,,,"Slovakia"
"Progressive Slovakia",7361,"PS","Progressive Slovakia","Slovakia"
"Progressive Slovakia - TOGETHER-Civic Democracy",,,,"Slovakia"
"Prty o Civil Considerat",9,"SOP","Party of Civic Understanding","Slovakia"
"Prty o Democr Left",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"Prty o enterprise a craft",,,,"Slovakia"
"R. Schuster (Former President)",,,,"Slovakia"
"ROISR Roma Civic Initiative",,,,"Slovakia"
"ROISR Roma Civic Initiative o SK",,,,"Slovakia"
"ROMA Polit Movemnt of Roma in SK",,,,"Slovakia"
"ROSA Workers Party",,,,"Slovakia"
"RSS Peasants Party",,,,"Slovakia"
"Republic",9072,"REP","Republic","Slovakia"
"Roman Coalition Party",,,,"Slovakia"
"S. Bernat (KSS)",340,"KSS","Communist Party of Slovakia","Slovakia"
"SD Party of the Democratic Left",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"SDA Social Democratic Alternative",618,"SDA","Social Democratic Alternative","Slovakia"
"SDKU - DS Slovak Democratic Christian Union - Democratic Par",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"SDKU SK Democratic Christian Union",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"SDKU SK Democratic a Chr Union",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"SDKU Slovak Democratic Christian Union",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"SDKÚ-DS",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"SDSS Social Democratic Party",200,"SDSS","Social Democratic Party of Slovakia","Slovakia"
"SF (Slobodné fórum)",137,"SF","Free Forum","Slovakia"
"SF Free Forum",137,"SF","Free Forum","Slovakia"
"SIET",4872,"S—SKS","Network — Slovak Conservative Party","Slovakia"
"SK Magyar Coalition",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"SKOK!",,,,"Slovakia"
"SME Rodina",4873,"SR","We are family — Boris Kollar","Slovakia"
"SMER",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMER - SD SMER - Social Democracy",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMER - Socialna demokracia - SMER",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMER Party",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMER Party Direction",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMER-Social Democracy",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMER-Social Democracy - SMER socialna demokracia",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"SMK (Strana maïarskej koalície)",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"SMK Hungarian Coalition Party",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"SMK Party o Hungarian Coalition",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"SMK Party of Hungarian Coalition",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"SNJ Slovak National Unity",,,,"Slovakia"
"SNS (Slovenská národná strana)",730,"SNS","Slovak National Party","Slovakia"
"SNS Slovak Democratic Party",730,"SNS","Slovak National Party","Slovakia"
"SNS Slovak National Party",730,"SNS","Slovak National Party","Slovakia"
"SNS Sovak National Party",730,"SNS","Slovak National Party","Slovakia"
"SZ (Strana zelených)",5849,"SZ","Green Party (1992)","Slovakia"
"SZS Green Party",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"SZS Green Party o SK",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"SZS Green Party of SK",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"SaS (Sloboda a spravodlivos)",1386,"SaS","Freedom and Solidarity","Slovakia"
"Sieť",4872,"S—SKS","Network — Slovak Conservative Party","Slovakia"
"Sloboda a Solidarita (SaS)",1386,"SaS","Freedom and Solidarity","Slovakia"
"Slobodne forum - SF",137,"SF","Free Forum","Slovakia"
"Slovak Conservative Party (SKS)",,,,"Slovakia"
"Slovak Democratic Christian Union (SDKU)",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic Christian Union - Democratic Party - SDKU-",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic Christian Union - Democratic Party - SDKU-DS",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic Christian Union - Democratic Party / SDKU-",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic Christian Union - SDKU - DS",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic Cristian Union (SDKÚ)",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic and Christian Union - Democratic Party",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic and Christian Union - Democratic Party - S",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic and Christian Union - Democratic Party - SDKU",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic and Christian Union - Democratic Party - SDKU-DS",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Democratic and Christian Union – Democratic Party (SDKÚ–DS)",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak Green Party",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"Slovak Green Party (SZS)",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"Slovak League - Slovenska liga",,,,"Slovakia"
"Slovak National P",730,"SNS","Slovak National Party","Slovakia"
"Slovak National Party",730,"SNS","Slovak National Party","Slovakia"
"Slovak National Party (SNS)",730,"SNS","Slovak National Party","Slovakia"
"Slovak National Party - SNS",730,"SNS","Slovak National Party","Slovakia"
"Slovak National Party - Slovenska narodna strana (SNS)",730,"SNS","Slovak National Party","Slovakia"
"Slovak National Party / SNS",730,"SNS","Slovak National Party","Slovakia"
"Slovak People's Party - Slovenska ludova strana (SLS)",,,,"Slovakia"
"Slovak People's Party - Slovenska ľudova strana (SLS)",,,,"Slovakia"
"Slovak Workers Union (ZRS)",230,"ZRS","Association of Workers of Slovakia","Slovakia"
"Slovak democratic and Christian union - Democratic party - (SDKÚ-DS)",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovak national party - SNS",730,"SNS","Slovak National Party","Slovakia"
"Slovenska Zelena Alternativa (SZA) - Slovak Green Alterntive",,,,"Slovakia"
"Slovenska demokraticka a krestanska unia-Demokraticka strana - SdkU-DS",1617,"SDKU — DS","Slovak Democratic and Christian Union — Democratic Party","Slovakia"
"Slovenska narodna strana (SNS)",730,"SNS","Slovak National Party","Slovakia"
"Slovenska narodna strana (SNS) - Slovak National Party",730,"SNS","Slovak National Party","Slovakia"
"Slovenska narodna strana - SNS",730,"SNS","Slovak National Party","Slovakia"
"Smer – SD",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Smer-SD (Smer  Sociálna demokracia)",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Soc Dem Party o SK",200,"SDSS","Social Democratic Party of Slovakia","Slovakia"
"Social Democracy (SDSS)",200,"SDSS","Social Democratic Party of Slovakia","Slovakia"
"Social Democracy - SD SMER - SMER",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Social Democracy - SMER-SD",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Social Democracy - SMER-SD - SMER",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Social Democracy - SMER-SD SMER",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Social Democracy / SMER-SD",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Social democracy - SMER-SD",311,"Smer — SD","Direction — Social Democracy","Slovakia"
"Social-Democratic Party of Slovakia (SDSS)",200,"SDSS","Social Democratic Party of Slovakia","Slovakia"
"Socialist.sk",,,,"Slovakia"
"Socialists.sk - Socialisti.sk",,,,"Slovakia"
"Socialnodemokraticka Strana na Slovensku (SDSS)",200,"SDSS","Social Democratic Party of Slovakia","Slovakia"
"Socialnodemokraticka strana Slovenska (SDSS)",200,"SDSS","Social Democratic Party of Slovakia","Slovakia"
"Spolu.itie - Coexistence",1077,"SE","Coexistence","Slovakia"
"Spoluzitie (Egyutelles)",1077,"SE","Coexistence","Slovakia"
"Spoluzitie (Egyutelles) - Coexistence",1077,"SE","Coexistence","Slovakia"
"Strana Demokratickej Zavice (SD1/4)",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"Strana demokratickej l avice (SDL)",1242,"SDL","Party of the Democratic Left (1990)","Slovakia"
"Strana madarskej koalicie - SMK",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Strana obcianskeho porozumenia (SOP) - Party of Civil Understanding",9,"SOP","Party of Civic Understanding","Slovakia"
"Strana zelenych na Slovensku (SZS)",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"Strana zelenych na Slovensku (SZS) - Party of Greens in Slovakia",1569,"SZ-S","Green Party [in Slovakia]","Slovakia"
"THE VOICE OF THE PEOPLE - HLAS LUDU",,,,"Slovakia"
"THE VOICE OF THE PEOPLE - HLAS ĽUDU",,,,"Slovakia"
"TIP",3222,"TIP","TIP Party — We create another policy","Slovakia"
"TOGETHER – Civic Democracy",8177,"Spolu","Together — Civic Democracy","Slovakia"
"TOGHETHER - Civic Democracy",8177,"Spolu","Together — Civic Democracy","Slovakia"
"The Party of the Hungarian Community",349,"SMK-MKP","Party of the Hungarian Coalition / Party of the Hungarian Community","Slovakia"
"Together – Civic Democracy",8177,"Spolu","Together — Civic Democracy","Slovakia"
"Union of the Workers of Slovakia",230,"ZRS","Association of Workers of Slovakia","Slovakia"
"V. Meciar (HZDS-LS)",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"Verejnost proti nasiliu",5,"VPN","Public against Violence","Slovakia"
"Verejnost proti nasiliu (VPN) - Public against violence",5,"VPN","Public against Violence","Slovakia"
"Vesela Politicka Stranka",,,,"Slovakia"
"Voice - Social Democracy",9071,"HLAS-SD","Voice – Social Democracy","Slovakia"
"Voice – Social Democracy",9071,"HLAS-SD","Voice – Social Democracy","Slovakia"
"We Are Family - Boris Kollár",4873,"SR","We are family — Boris Kollar","Slovakia"
"We Are Family – Boris Kollár (Sme Rodina)",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are Family",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are family",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are family - Boris Kollar",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are family - Boris Kollár",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are family - SME Rodina",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are family - SME Rodina (Boris Kollar)",4873,"SR","We are family — Boris Kollar","Slovakia"
"We are family - SME Rodina Boris Kollar",4873,"SR","We are family — Boris Kollar","Slovakia"
"Workers Association (ZRS)",230,"ZRS","Association of Workers of Slovakia","Slovakia"
"ZAR Woman and Family",,,,"Slovakia"
"ZPR-REP Association for Republic",,,,"Slovakia"
"ZRS Association of SK workers",230,"ZRS","Association of Workers of Slovakia","Slovakia"
"ZRS Association of Workers of SK",230,"ZRS","Association of Workers of Slovakia","Slovakia"
"Za ľudí",8394,"Za","For the People","Slovakia"
"Zdruzenie Robotnikov Slovenska (ZRS) - Association of Workers of Slovakia",230,"ZRS","Association of Workers of Slovakia","Slovakia"
"¼S-HZDS (¼udová strana-HZDS)",560,"LS — HZDS","People's Party — Movement for a Democratic Slovakia","Slovakia"
"ĽS Naše Slovensko",656,"LsNS","People's Party Our Slovakia","Slovakia"
"AS - Active Slovenia",1302,"AS","Active Slovenia","Slovenia"
"AS-Active Slovenia",1302,"AS","Active Slovenia","Slovenia"
"Active Slovenia",1302,"AS","Active Slovenia","Slovenia"
"Alenka Bratusek Alliance",3114,"ZaAB / SAB","Alliance of Alenka Bratusek / Party of Alenka Bratušek","Slovenia"
"Alenka Bratusek Alliance - SAB",3114,"ZaAB / SAB","Alliance of Alenka Bratusek / Party of Alenka Bratušek","Slovenia"
"Alenka Bratusek Alliance - ZAAB",3114,"ZaAB / SAB","Alliance of Alenka Bratusek / Party of Alenka Bratušek","Slovenia"
"Alenka Bratusek Party - SAB",3114,"ZaAB / SAB","Alliance of Alenka Bratusek / Party of Alenka Bratušek","Slovenia"
"Alenka Bratusek Party - Stranka Alenke Bratusek (SAB)",3114,"ZaAB / SAB","Alliance of Alenka Bratusek / Party of Alenka Bratušek","Slovenia"
"Associated List of Social Democrats (ZLSD)",1403,"SD/ZLSD","Social Democrats / United List of Social Democrats","Slovenia"
"Christ democrats",644,"SKD","Slovenian Christian Democrats","Slovenia"
"Christian socialists",2098,"KS","Christian Socialists","Slovenia"
"Civic List - DL",98,"DL","Civic List","Slovenia"
"Com list Soc democr",1403,"SD/ZLSD","Social Democrats / United List of Social Democrats","Slovenia"
"Combined list ZLSD",1403,"SD/ZLSD","Social Democrats / United List of Social Democrats","Slovenia"
"Combined list social democrats",1403,"SD/ZLSD","Social Democrats / United List of Social Democrats","Slovenia"
"Combined list social democrats-ZLSD",1403,"SD/ZLSD","Social Democrats / United List of Social Democrats","Slovenia"
"DESUS - Democrat ret",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"DESUS - Democrat retired persons party",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"DESUS - Democratic party of slovenian pensioners",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"DESUS - Demokraticna stranka upokojencev Slovenije",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"DESUS-Democratic Party of Pensioners of Slovenia",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"DESUS-Democratic ret",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"DL - Državljanska lista",98,"DL","Civic List","Slovenia"
"DS (Democratic Party)",1479,"DS","Democratic Party of Slovenia","Slovenia"
"DS Democrat party",1479,"DS","Democratic Party of Slovenia","Slovenia"
"DeSUS (Democratic Party of Pensioners of Slovenia)",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democrat party",1479,"DS","Democratic Party of Slovenia","Slovenia"
"Democrat party DS",1479,"DS","Democratic Party of Slovenia","Slovenia"
"Democrat party-DS",1479,"DS","Democratic Party of Slovenia","Slovenia"
"Democratic Party of Pensioners",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic Party of Pensioners of Slovenia",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic Party of Pensioners of Slovenia (DESUS)",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic Party of Pensioners of Slovenia (DeSUS)",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic Party of Pensioners of Slovenia - DESUS",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic Party of Slovenian Pensioners - DESUS",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic Party of Slovenian Pensioners - Demokraticna stranka upokojencev Slovenije (DeSUS)",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Democratic ret DESUS",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Demokratska Stranka Slovenije (DSS)",1479,"DS","Democratic Party of Slovenia","Slovenia"
"Demokratska stranka",1479,"DS","Democratic Party of Slovenia","Slovenia"
"Demokratska stranka upokojencev",467,"DeSUS","Democratic Party of Retired People of Slovenia","Slovenia"
"Državljansko gibanje Resni.ca",9069,"Res","Resni.ca","Slovenia"
"Gibanje svoboda",9067,"GS","Freedom Movement","Slovenia"
"Green",1494,"ZS","Greens of Slovenia","Slovenia"
"Green Parties",,,,"Slovenia"
"Green Party (ZS)",1494,"ZS","Greens of Slovenia","Slovenia"
"Green Party of Slovenia",1494,"ZS","Greens of Slovenia","Slovenia"
"Green of Slovenia",1494,"ZS","Greens of Slovenia","Slovenia"
"Green of Slovenia ZS",1494,"ZS","Greens of Slovenia","Slovenia"
"Green of Slovenia ecosocial",1494,"ZS","Greens of Slovenia","Slovenia"
"Green of Slovenia ecosocial-ZS",1494,"ZS","Greens of Slovenia","Slovenia"
"Gregor Virant's Citizens' List - DLGV",98,"DL","Civic List","Slovenia"
"KS (Christian Socialists)",2098,"KS","Christian Socialists","Slovenia"
"Krscanski socialisti",2098,"KS","Christian Socialists","Slovenia"
"L - Levica",6131,"L","The Left","Slovenia"
"LDS (Liberal Democracy of Slovenia)",975,"LDS","Liberal Democracy of Slovenia","Slovenia"
"LDS Liberal democrat",975,"LDS","Liberal Democracy of Slovenia","Slovenia"
"LDS Liberal democrat party",975,"LDS","Liberal Democracy of Slovenia","Slovenia"
"LDS-Liberal Democrat",975,"LDS","Liberal Democracy of Slovenia","Slovenia"
